"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","78","94","1,106","14.2","43","21","8","0","0","0","0","15","158.6","10.6","99.8%"
"2","Brock Bowers (LV)","112","153","1,194","10.7","57","15","5","5","13","0","0","17","150.7","8.9","99.9%"
"3","Trey McBride (ARI)","111","147","1,146","10.3","37","10","2","1","2","1","0","16","138.8","8.7","99.8%"
"4","Jonnu Smith (PIT)","88","111","884","10.0","57","4","8","2","-1","0","1","17","134.3","7.9","28.1%"
"5","Mark Andrews (BAL)","55","69","673","12.2","67","6","11","4","5","0","0","17","133.8","7.9","93.1%"
"6","Sam LaPorta (DET)","60","83","726","12.1","52","11","7","0","0","0","0","16","114.6","7.2","99.2%"
"7","Tucker Kraft (GB)","50","70","707","14.1","67","11","7","3","6","0","1","17","113.3","6.7","82.9%"
"8","Zach Ertz (WAS)","66","91","654","9.9","37","7","7","0","0","0","0","17","111.4","6.6","33.7%"
"9","Pat Freiermuth (PIT)","65","78","653","10.0","30","7","7","0","0","0","2","17","103.3","6.1","12.7%"
"10","Travis Kelce (KC)","97","133","823","8.5","38","9","3","1","1","0","1","16","98.4","6.2","96.4%"
"11","David Njoku (CLE)","64","97","505","7.9","29","4","5","0","0","0","0","11","84.5","7.7","93.5%"
"12","Kyle Pitts Sr. (ATL)","47","74","602","12.8","52","7","4","0","0","0","0","17","84.2","5.0","64.3%"
"13","Isaiah Likely (BAL)","42","58","477","11.4","49","4","6","0","0","0","1","16","81.7","5.1","8.3%"
"14","Cade Otton (TB)","59","87","600","10.2","44","7","4","1","-4","0","1","14","81.6","5.8","18.7%"
"15","Taysom Hill (NO)","23","31","187","8.1","34","2","0","39","278","6","1","8","80.3","10.0","0.8%"
"16","Hunter Henry (NE)","66","97","674","10.2","35","4","2","0","0","0","0","16","79.4","5.0","36.2%"
"17","Mike Gesicki (CIN)","65","83","665","10.2","47","5","2","0","0","0","1","17","76.5","4.5","4.4%"
"18","Cole Kmet (CHI)","47","55","474","10.1","31","7","4","0","0","0","0","17","73.4","4.3","1.3%"
"19","Noah Gray (KC)","40","49","437","10.9","35","6","5","1","-4","0","0","17","73.3","4.3","0.7%"
"20","Juwan Johnson (NO)","50","66","548","11.0","30","8","3","0","0","0","0","17","72.8","4.3","0.9%"
"21","Foster Moreau (NO)","32","43","413","12.9","41","7","5","0","0","0","0","17","71.3","4.2","0.1%"
"22","Tyler Conklin (LAC)","51","72","449","8.8","27","7","4","1","0","0","0","16","70.9","4.4","0.4%"
"23","Dalton Schultz (HOU)","53","85","532","10.0","32","5","2","0","0","0","0","17","65.2","3.8","5.6%"
"24","Austin Hooper (NE)","45","59","476","10.6","38","5","3","0","0","0","1","17","63.6","3.7","0.2%"
"25","Chig Okonkwo (TEN)","52","70","479","9.2","70","4","2","1","17","0","1","17","61.6","3.6","11.7%"
"26","Dallas Goedert (PHI)","42","52","496","11.8","61","6","2","0","0","0","0","10","61.6","6.2","73.7%"
"27","Will Dissly (LAC)","50","64","481","9.6","29","5","2","0","0","0","0","15","60.1","4.0","0.3%"
"28","Dalton Kincaid (BUF)","44","75","448","10.2","29","5","2","0","0","0","0","13","56.8","4.4","71.1%"
"29","Noah Fant (CIN)","48","64","500","10.4","32","3","1","0","0","0","0","14","56.0","4.0","0.8%"
"30","Brenton Strange (JAC)","40","53","411","10.3","30","7","2","0","0","0","1","17","51.1","3.0","13.2%"
"31","Jordan Akins (FA)","40","58","390","9.8","21","3","2","0","0","0","0","16","51.0","3.2","0.0%"
"32","AJ Barner (SEA)","30","38","245","8.2","20","1","4","0","0","0","0","17","48.5","2.9","0.3%"
"33","T.J. Hockenson (MIN)","41","62","455","11.1","34","5","0","0","0","0","0","10","45.5","4.6","96.5%"
"34","Jake Ferguson (DAL)","59","86","494","8.4","27","6","0","0","0","0","2","14","45.4","3.2","62.5%"
"35","Josh Oliver (MIN)","22","28","258","11.7","28","5","3","0","0","0","0","15","43.8","2.9","0.2%"
"36","Evan Engram (DEN)","47","64","365","7.8","24","2","1","0","0","0","1","9","42.5","4.7","89.6%"
"37","Ja'Tavion Sanders (CAR)","33","43","342","10.4","46","6","1","0","0","0","0","16","40.2","2.5","1.0%"
